x,y,Fe,Al2O3,SiO2,Mn,P,Rest,Comminution Time,Specific Energy,Fe Recovery,Working Face
70,70,0.46008701363804994,0.022628175726884,0.050526487573138,0.0004788131678693,0.001209320658396,0.315070189235663,2,1.3754748955611278,0.7588730540078761,B
70,75,0.49644375990103295,0.0110099525773945,0.0202225462776915,0.0003409156819184,0.0012140959999568,0.320768729562006,3,0.8596569458506297,0.8014476034365547,B
65,45,0.44814911064738394,0.0256072954027902,0.0745393931040822,0.0002532997209481,0.0011468825720616,0.300304018552734,2,1.281635928632963,0.6852395764060182,B
-110,90,0.652077323954976,0.012895816067115,0.019923690262611,0.0005430805230527,0.0011058452178546,0.313454243974391,1,0.8103757731938641,0.8220710457087065,C
-110,60,0.5672135710395,0.0231609909305401,0.0359724415766721,0.0034609418905511,0.0014180592083687,0.318773995354368,1,1.2212710579183426,0.7302306653309052,A
-110,85,0.5824361561873209,0.0219060409297247,0.0303977542089847,0.0012710427840654,0.0012340640657317,0.312754941824172,1,1.7478460487772403,0.7737722872556274,A
-110,65,0.5598592059203129,0.0278678794736453,0.041272058916973,0.0037027516048821,0.0015391381381422,0.315758965946044,3,1.4767740859106486,0.6980304099698114,A
-105,105,0.64629924876813,0.009584534646988,0.0252948913070524,0.0010990868641681,0.0014571144980273,0.316265123915634,3,1.0098519004917879,0.7634956806669884,C
65,50,0.45257310590533895,0.0211555183915942,0.0806442595076456,0.000242393461277,0.000664752168734,0.29471997056541,1,0.9140278447594711,0.6990442925596849,B
-110,80,0.583731566232231,0.0194311830523555,0.0277916270827007,0.0036426083045442,0.0012846827285888,0.31411833259958,1,1.1233726474758243,0.7927477757520671,A
-110,70,0.586106483324103,0.0143303848524326,0.0254009649813179,0.0032127023646871,0.001354496096767,0.319594968380692,3,1.2426761999039588,0.7649410613662738,A
-110,75,0.6057195014207749,0.0076039566997542,0.013380914338503,0.0034188893943191,0.0012422367668576,0.318634501379791,3,1.174209210723433,0.8514644771939062,A
-100,115,0.638358051946788,0.0164018208295143,0.0288545733820139,0.0014613640405597,0.0012997752173923,0.313624414583732,2,1.1441034300979886,0.7484819088538068,C
65,95,0.638978041339321,0.0184018925519086,0.0223518892721727,0.0011260916267995,0.0017740427772941,0.317368042432505,3,1.6091137787027467,0.7987723677377496,C
65,55,0.4263659944617709,0.0114256454038103,0.132317293024676,0.000252820774894,0.0006426851403577,0.278995561194491,3,1.0916802400719021,0.6701346562343239,B
60,40,0.43799758189121696,0.033149996684337,0.0777607467787088,0.0004619342670783,0.0012014389525822,0.299428301426076,3,1.2625383830384973,0.6694675437452826,B
-105,100,0.635615750609034,0.0055949198342302,0.0432980497825381,0.0006796779510243,0.0013607939539893,0.313450807869184,1,0.9607747651474837,0.7335733296663576,C
65,90,0.640140794465366,0.0194366850343593,0.022215705358767,0.0007449770174268,0.0017895554788667,0.315672282645214,3,1.6113008438485965,0.7682090477303152,C
65,60,0.396470354951613,0.0067157013746005,0.174105776018042,0.0003106964876367,0.0007940777537789,0.27160339341433,2,0.9773626044147548,0.49167643740673683,B
-100,110,0.644439598368142,0.0143513318807458,0.0257014218276106,0.0016901985461462,0.0013170623747991,0.312500387002556,2,1.2830239389142524,0.7976280479276014,C
-105,95,0.653039948141854,0.0056865952009754,0.0178395790297286,0.0005451578032275,0.0011460268175333,0.321742693006681,1,1.2164202887615239,0.7591052466279309,C
65,85,0.65598140369299,0.010621378361313,0.0126729533729458,0.0005718218430936,0.0017718794437643,0.318380563285894,1,0.8722223547770733,0.79020724070069,C
65,65,0.473922210805221,0.0087356916170316,0.0505094896399203,0.0005765981958606,0.0011516006119837,0.315104409129982,2,1.0147231533018441,0.7196472858409865,B
60,45,0.4362195554346979,0.0346013467970667,0.0782139033478151,0.0003841661436229,0.0011340927657839,0.299446935511013,2,1.178990841059273,0.677124716641183,B
65,80,0.658382360697382,0.0050909785443379,0.0080296575903153,0.0007265725698788,0.0015206370699788,0.326249793528107,1,1.3761920549611006,0.812876482281768,C
65,70,0.48933920528347397,0.012594197621754,0.0209209015995891,0.0005663681096269,0.0014047482896831,0.325174579095873,1,1.158100776338637,0.790068985612578,B
65,75,0.664060022909742,0.0045738470536204,0.0078124769330062,0.000379278004932,0.0010780086319764,0.322096366466722,1,0.5834798116969268,0.8474729403830816,C
